S. No.,Gujarati - Hindi Name,English Name,MP3 URL,PDF URL
1,"એ. એમ. પટેલ રૂપી મંદિર, જે","A. M. Patel Rupi mandir, Je",https://archive.org/download/KavirajPad/A%20M%20Patel%20Rupi.mp3,https://archive.org/download/KavirajPadLyrics/A.%20M.%20Patel%20rupi%20-%2080-10.pdf
2,આ અજબ ગજબની પૂર્ણિમા,Aa Ajab Gajab Ni Purnima,https://archive.org/download/KavirajPad/Aa%20Ajab%20Gajab%20Ni%20Purnima.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20ajab%20gajbani%20purnima-45-04.pdf
3,આ આત્માએ ક્યારેય કદી,Aa Atma-Eh Kyarey Kadi,https://archive.org/download/KavirajPad/Aa%20Aatmaae%20Kyarey%20Kadi.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20Atma-Eh%20Kyarey%20Kadi-59-05.pdf
4,આ ભજનમાળનું સામાયિક ગહન,Aa Bhajanmalnu Samayik Gahan,https://archive.org/download/KavirajPad/Aa%20Bhajanmalnu%20Samayik.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20bhajnmalnu-11-09.pdf
5,આ 'છે' 'તે' વૈષ્ણવ સ્વજન જે નરસિંહ,Aa Chhe Te Vaishnav Swajan Je Narsiha,https://archive.org/download/KavirajPad/Aa%20Chhe%20Te%20Vaishnav%20Swajan.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20Chhe%20Te%20Vaishnav%20Swajan%20Je%20Narsiha-%2025-01.pdf
6,આ દાદા તો ફક્ત આંખોથી પી જાવાની,Aa Dada To Fakat Aakhothi Pi Javani,https://archive.org/download/KavirajPad/5%20Aa%20Dada%20To%20Phakat.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20dada%20to%20fakata-01-05.pdf
7,"આ' દર્શન ઠારે અમ અંતર, ને હસતાં","Aa Darshan Thare Am Antar, Ne Hasta",https://archive.org/download/KavirajPad/Aa%20Darshan%20Thare%20Am.mp3,"https://archive.org/download/KavirajPadLyrics/Aa%20Darshan%20Thare%20Am%20Antar,%20Ne%20Hasta.pdf"
8,આ દુનિયામાં સર્વે જીવને સુખ ને,Aa Duniyama Sarve Jivne Sukh Ne,https://archive.org/download/KavirajPad/Aa%20Duniya%20Ma%20Sarve%20Jeeva%20Ne.mp3,https://archive.org/download/KavirajPadLyrics/CD68-09%20Aa%20Duniyama%20Sarve%20Jivne%20Sukh.pdf
9,આ દુનિયાથી છૂટી દાદા સીધું જ મોક્ષે,Aa Duniyathi Chhuti Dada Siddhu J Mokshe,https://archive.org/download/KavirajPad/Aa%20Duniyathi%20Chhuti%20Dada.mp3,https://archive.org/download/KavirajPadLyrics/Aa%20duniyathi%20chhuti%20-%2025-03.pdf
10,આ જીવનનો રસ્તો,Aa Jivanno Rasto,https://archive.org/download/KavirajPad/Aa%20Jivan%20No%20Rasto.mp3,https://archive.org/download/KavirajPadLyrics/CD69-01%20Aa%20Jivanno%20Rasto.pdf
